key,ts,deleted,ko,ko_ts,en,en_ts
1.name,1770801771,,공격,1770801771,Attack,1770801771
1.message1,1770801771,,공격합니다!,1770801771,attacks!,1770801771
2.name,1770801771,,보호,1770801771,Guard,1770801771
2.message1,1770801771,,보호하고 있습니다.,1770801771,is guarding.,1770801771
3.name,1770801771,,연속 공격,1770801771,Combo Attack,1770801771
3.message1,1770801771,,공격합니다!,1770801771,attacks!,1770801771
4.name,1770801771,,2회 공격,1770801771,Double Attack,1770801771
4.message1,1770801771,,공격합니다!,1770801771,attacks!,1770801771
5.name,1770801771,,3회 공격,1770801771,Triple Attack,1770801771
5.message1,1770801771,,공격합니다!,1770801771,attacks!,1770801771
6.name,1770801771,,탈출,1770801771,Escape,1770801771
6.message1,1770801771,,도망갑니다.,1770801771,runs away.,1770801771
7.name,1770801771,,상황을 보기,1770801771,Observe,1770801771
7.message1,1770801771,,상황을 봅니다.,1770801771,is observing.,1770801771
8.name,1770801771,,치유,1770801771,Heal,1770801771
8.message1,1770801771,, %1 얻다!,1770801771, casts %1!,1770801771
9.name,1770801771,,불,1770801771,Fire,1770801771
9.message1,1770801771,, %1 얻다!,1770801771, casts %1!,1770801771
10.name,1770801771,,스파크,1770801771,Spark,1770801771
10.message1,1770801771,, %1 얻다!,1770801771, casts %1!,1770801771
