key,ts,deleted,ko,ko_ts,en,en_ts
1.name,1770801771,,전투 불능,1770801771,Incapacitated,1770801771
1.message1,1770801771,,나가떨어졌습니다!,1770801771,has been knocked out!,1770801771
1.message2,1770801771,,죽였습니다!,1770801771,has been slain!,1770801771
1.message4,1770801771,,부활합니다!,1770801771,has been revived!,1770801771
2.name,1770801771,,보호,1770801771,Guard,1770801771
3.name,1770801771,,불사신,1770801771,Immortal,1770801771
4.name,1770801771,,중독,1770801771,Poison,1770801771
4.message1,1770801771,,중독되었습니다!,1770801771,is poisoned!,1770801771
4.message2,1770801771,,중독되었습니다!,1770801771,is poisoned!,1770801771
4.message4,1770801771,,해독하였습니다!,1770801771,has been cured of poison!,1770801771
5.name,1770801771,,암흑,1770801771,Blind,1770801771
5.message1,1770801771,,이 암흑에 갖혔습니다! ,1770801771,is shrouded in darkness!,1770801771
5.message2,1770801771,,이 암흑에 갖혔습니다! ,1770801771,is shrouded in darkness!,1770801771
5.message4,1770801771,,암흑에서 풀려났습니다!,1770801771,has recovered from blindness!,1770801771
6.name,1770801771,,침묵,1770801771,Silence,1770801771
6.message1,1770801771,,침묵에 걸렸습니다!,1770801771,has been silenced!,1770801771
6.message2,1770801771,,침묵에 걸렸습니다!,1770801771,has been silenced!,1770801771
6.message4,1770801771,,침묵이 풀렸습니다!,1770801771,has recovered from silence!,1770801771
7.name,1770801771,,격노,1770801771,Rage,1770801771
7.message1,1770801771,,분노했습니다!,1770801771,is enraged!,1770801771
7.message2,1770801771,,분노했습니다!,1770801771,is enraged!,1770801771
7.message4,1770801771,,분노가 풀렸습니다!,1770801771,has calmed down!,1770801771
8.name,1770801771,,혼란,1770801771,Confusion,1770801771
8.message1,1770801771,,혼란에 빠졌습니다!,1770801771,is confused!,1770801771
8.message2,1770801771,,혼란에 빠졌습니다!,1770801771,is confused!,1770801771
8.message4,1770801771,,혼란에서 빠져나왔습니다!,1770801771,has snapped out of confusion!,1770801771
9.name,1770801771,,매료,1770801771,Fascination,1770801771
9.message1,1770801771,,매료되었습니다!,1770801771,is fascinated!,1770801771
9.message2,1770801771,,매료되었습니다!,1770801771,is fascinated!,1770801771
9.message4,1770801771,,매료에서 풀려났습니다!,1770801771,has broken free from fascination!,1770801771
10.name,1770801771,,잠,1770801771,Sleep,1770801771
10.message1,1770801771,,잠듭니다!,1770801771,has fallen asleep!,1770801771
10.message2,1770801771,,잠듭니다!,1770801771,has fallen asleep!,1770801771
10.message3,1770801771,,자고 있습니다.,1770801771,is sleeping.,1770801771
10.message4,1770801771,,깨어났습니다!,1770801771,has woken up!,1770801771
